NOC,Total_Atletas,Total_Medallas,Medallas_Oro,Eficiencia_Total,Eficiencia_Oro
MON,82,1,0,0.0122,0.0
LAO,47,0,0,0.0,0.0
KSA,149,3,0,0.0201,0.0
KUW,192,2,0,0.0104,0.0
LES,51,0,0,0.0,0.0
LIB,176,4,0,0.0227,0.0
MAL,40,0,0,0.0,0.0
MAD,76,0,0,0.0,0.0
MAS,301,11,0,0.0365,0.0
MAW,59,0,0,0.0,0.0
MDV,31,0,0,0.0,0.0
MDA,131,7,0,0.0534,0.0
ROT,10,0,0,0.0,0.0
SAA,36,0,0,0.0,0.0
TAN,110,2,0,0.0182,0.0
SWZ,42,0,0,0.0,0.0
SOL,20,0,0,0.0,0.0
SOM,22,0,0,0.0,0.0
SRI,93,2,0,0.0215,0.0
SSD,3,0,0,0.0,0.0
STP,13,0,0,0.0,0.0
SUD,81,1,0,0.0123,0.0
SMR,92,0,0,0.0,0.0
RWA,37,0,0,0.0,0.0
RHO,10,0,0,0.0,0.0
SAM,53,0,0,0.0,0.0
SEY,64,0,0,0.0,0.0
SEN,234,1,0,0.0043,0.0
SKN,19,0,0,0.0,0.0
SLE,62,0,0,0.0,0.0
QAT,141,5,0,0.0355,0.0
UNK,2,0,0,0.0,0.0
TUV,6,0,0,0.0,0.0
UAR,74,2,0,0.027,0.0
TKM,41,0,0,0.0,0.0
TGA,38,1,0,0.0263,0.0
TOG,42,1,0,0.0238,0.0
TLS,8,0,0,0.0,0.0
VIN,28,0,0,0.0,0.0
VAN,25,0,0,0.0,0.0
VNM,39,0,0,0.0,0.0
WIF,13,2,0,0.1538,0.0
YEM,28,0,0,0.0,0.0
YAR,10,0,0,0.0,0.0
YMD,5,0,0,0.0,0.0
ZAM,145,2,0,0.0138,0.0
